Asset ID,Service,Asset Name,Category,Environment,Owner,Data Classification,CIA_Confidentiality (1-5),CIA_Integrity (1-5),CIA_Availability (1-5),Criticality (1-3),Dependencies,Primary Location,Vendor/Platform,Authentication,Notes
A0162,Data Warehouse,Data Warehouse Identity 162,Identity,Test,IT Ops,Public,5,3,3,1,Azure SQL,US-East,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0163,Data Warehouse,Data Warehouse Database 163,Database,Test,Manufacturing,Internal,2,2,2,2,Filesystem,US-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0164,Data Warehouse,Data Warehouse Database 164,Database,Dev,IT Ops,Public,4,3,4,2,Azure SQL,US-East,Azure,SSO,Sample placeholder row; replace with real asset details.
A0165,Endpoint Fleet,Endpoint Fleet Infrastructure 165,Infrastructure,Test,Data Platform,Public,5,5,4,1,Azure SQL,US-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0166,ERP,ERP Third Party 166,Third Party,Test,Data Platform,Public,1,2,4,3,Filesystem,US-West,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0167,Data Warehouse,Data Warehouse Database 167,Database,Test,HR,Public,4,4,2,1,AWS RDS,US-West,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0168,Email,Email Identity 168,Identity,Prod,Manufacturing,Internal,2,2,5,3,OT network,US-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0169,Identity Platform,Identity Platform Endpoint 169,Endpoint,Dev,Finance,Internal,4,3,5,1,SaaS,US-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0170,Data Warehouse,Data Warehouse Data Set 170,Data Set,Dev,Product,Internal,3,4,2,3,Azure SQL,US-West,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0171,Customer Portal,Customer Portal Endpoint 171,Endpoint,Test,Finance,Confidential,5,5,4,1,Azure SQL,EU-West,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0172,MES,MES Identity 172,Identity,Prod,IT Ops,Internal,2,4,3,1,On-prem,US-East,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0173,Network Core,Network Core Database 173,Database,Prod,IT Ops,Public,4,4,4,2,Filesystem,US-West,AWS,API Key,Sample placeholder row; replace with real asset details.
A0174,SOC Tooling,SOC Tooling Third Party 174,Third Party,Dev,Product,Public,3,2,3,3,On-prem,Factory,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0175,Data Warehouse,Data Warehouse Endpoint 175,Endpoint,Dev,Product,Restricted,5,2,1,1,Azure SQL,EU-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0176,Data Warehouse,Data Warehouse Application 176,Application,Prod,IT Ops,Restricted,2,1,1,3,OT network,EU-West,Azure,API Key,Sample placeholder row; replace with real asset details.
A0177,SOC Tooling,SOC Tooling Infrastructure 177,Infrastructure,Prod,HR,Confidential,5,3,3,3,SaaS,US-East,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0178,ERP,ERP Network 178,Network,Dev,HR,Restricted,3,2,1,2,Filesystem,EU-West,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0179,Identity Platform,Identity Platform Identity 179,Identity,Dev,Manufacturing,Confidential,5,2,2,1,On-prem,US-East,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0180,Endpoint Fleet,Endpoint Fleet Network 180,Network,Dev,HR,Restricted,2,1,2,3,Filesystem,EU-West,Azure,MFA,Sample placeholder row; replace with real asset details.
A0181,SOC Tooling,SOC Tooling Data Set 181,Data Set,Dev,Finance,Restricted,2,3,1,1,Azure SQL,On-prem DC,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0182,Network Core,Network Core Infrastructure 182,Infrastructure,Prod,Data Platform,Internal,3,4,4,1,N/A,US-East,AWS,API Key,Sample placeholder row; replace with real asset details.
A0183,Customer Portal,Customer Portal Identity 183,Identity,Test,IT Ops,Restricted,4,1,4,3,N/A,EU-West,Azure,MFA,Sample placeholder row; replace with real asset details.
A0184,Endpoint Fleet,Endpoint Fleet Application 184,Application,Prod,HR,Internal,3,3,5,1,Filesystem,On-prem DC,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0185,Customer Portal,Customer Portal Identity 185,Identity,Test,Product,Restricted,5,4,1,2,Filesystem,EU-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0186,Identity Platform,Identity Platform Infrastructure 186,Infrastructure,Test,Data Platform,Public,1,1,3,1,AWS RDS,On-prem DC,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0187,Network Core,Network Core Endpoint 187,Endpoint,Test,Data Platform,Internal,1,4,2,3,SaaS,EU-West,GCP,API Key,Sample placeholder row; replace with real asset details.
A0188,Data Warehouse,Data Warehouse OT 188,OT,Dev,Security,Confidential,5,3,5,2,OT network,US-West,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0189,ERP,ERP Identity 189,Identity,Test,Security,Restricted,1,1,5,1,SaaS,EU-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0190,SOC Tooling,SOC Tooling Application 190,Application,Dev,IT Ops,Public,3,5,2,1,Filesystem,Factory,Azure,SSO,Sample placeholder row; replace with real asset details.
A0191,MES,MES Identity 191,Identity,Test,Manufacturing,Internal,2,1,4,1,OT network,US-East,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0192,MES,MES Network 192,Network,Test,HR,Restricted,1,3,2,2,SaaS,On-prem DC,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0193,Email,Email Third Party 193,Third Party,Prod,Manufacturing,Confidential,4,3,4,1,N/A,US-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0194,Network Core,Network Core Identity 194,Identity,Dev,IT Ops,Internal,5,3,5,2,SaaS,US-East,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0195,ERP,ERP Third Party 195,Third Party,Prod,Product,Confidential,2,5,4,1,On-prem,US-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0196,ERP,ERP Endpoint 196,Endpoint,Test,Product,Public,4,1,5,1,Azure SQL,US-East,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0197,ERP,ERP Endpoint 197,Endpoint,Prod,Finance,Confidential,5,4,1,1,Filesystem,US-West,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0198,Endpoint Fleet,Endpoint Fleet OT 198,OT,Dev,Data Platform,Confidential,1,1,1,3,Filesystem,On-prem DC,Azure,SSO,Sample placeholder row; replace with real asset details.
A0199,ERP,ERP Third Party 199,Third Party,Prod,Product,Restricted,1,4,5,2,AWS RDS,US-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0200,SOC Tooling,SOC Tooling Identity 200,Identity,Prod,IT Ops,Public,2,3,1,1,OT network,EU-West,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0201,Network Core,Network Core Identity 201,Identity,Test,Finance,Public,2,3,4,1,OT network,EU-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0202,MES,MES Database 202,Database,Prod,HR,Public,5,2,5,1,Filesystem,US-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0203,MES,MES Infrastructure 203,Infrastructure,Dev,IT Ops,Confidential,1,2,2,2,N/A,US-West,AWS,API Key,Sample placeholder row; replace with real asset details.
A0204,Identity Platform,Identity Platform Database 204,Database,Prod,Data Platform,Restricted,1,3,3,1,Filesystem,On-prem DC,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0205,Email,Email Database 205,Database,Dev,IT Ops,Internal,3,4,4,1,N/A,EU-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0206,Identity Platform,Identity Platform OT 206,OT,Prod,Manufacturing,Restricted,1,3,4,2,AWS RDS,EU-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0207,Email,Email Infrastructure 207,Infrastructure,Prod,Data Platform,Public,1,3,5,2,N/A,EU-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0208,Data Warehouse,Data Warehouse Third Party 208,Third Party,Dev,Data Platform,Internal,5,4,1,2,Filesystem,US-East,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0209,Customer Portal,Customer Portal Network 209,Network,Prod,Security,Restricted,5,5,2,2,N/A,Factory,AWS,SSO,Sample placeholder row; replace with real asset details.
A0210,Network Core,Network Core Infrastructure 210,Infrastructure,Test,Finance,Internal,1,2,4,1,On-prem,US-West,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0211,Network Core,Network Core Third Party 211,Third Party,Dev,Security,Internal,4,1,2,1,Azure SQL,US-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0212,Data Warehouse,Data Warehouse Data Set 212,Data Set,Test,Finance,Restricted,3,1,4,1,Filesystem,On-prem DC,AWS,MFA,Sample placeholder row; replace with real asset details.
A0213,Endpoint Fleet,Endpoint Fleet OT 213,OT,Test,IT Ops,Public,5,3,1,1,SaaS,US-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0214,Network Core,Network Core Identity 214,Identity,Test,HR,Public,5,3,2,3,N/A,US-East,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0215,Network Core,Network Core Endpoint 215,Endpoint,Dev,HR,Restricted,2,3,5,2,On-prem,US-East,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0216,ERP,ERP Infrastructure 216,Infrastructure,Dev,Finance,Public,5,5,5,1,OT network,On-prem DC,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0217,Data Warehouse,Data Warehouse Infrastructure 217,Infrastructure,Dev,Product,Confidential,2,1,5,1,SaaS,US-East,GCP,SSO,Sample placeholder row; replace with real asset details.
A0218,Network Core,Network Core OT 218,OT,Prod,Product,Internal,5,2,2,2,OT network,US-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0219,Email,Email Identity 219,Identity,Test,HR,Restricted,1,5,3,2,On-prem,On-prem DC,GCP,SSO,Sample placeholder row; replace with real asset details.
A0220,Data Warehouse,Data Warehouse Infrastructure 220,Infrastructure,Test,IT Ops,Restricted,2,4,1,2,N/A,On-prem DC,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0221,Customer Portal,Customer Portal Application 221,Application,Prod,Data Platform,Confidential,3,1,5,3,Azure SQL,Factory,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0222,Data Warehouse,Data Warehouse Infrastructure 222,Infrastructure,Test,Manufacturing,Internal,3,5,5,2,Azure SQL,EU-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0223,ERP,ERP Identity 223,Identity,Prod,Security,Restricted,2,1,1,1,SaaS,Factory,AWS,API Key,Sample placeholder row; replace with real asset details.
A0224,SOC Tooling,SOC Tooling Endpoint 224,Endpoint,Dev,Finance,Confidential,3,1,4,1,Filesystem,On-prem DC,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0225,Identity Platform,Identity Platform Infrastructure 225,Infrastructure,Dev,Security,Internal,3,5,1,2,AWS RDS,On-prem DC,Azure,API Key,Sample placeholder row; replace with real asset details.
A0226,Network Core,Network Core Third Party 226,Third Party,Test,IT Ops,Public,5,2,2,3,OT network,US-East,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0227,Email,Email Network 227,Network,Dev,Product,Confidential,5,4,1,1,Azure SQL,On-prem DC,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0228,Email,Email Database 228,Database,Prod,IT Ops,Internal,4,5,1,2,OT network,US-East,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0229,Identity Platform,Identity Platform Endpoint 229,Endpoint,Dev,Finance,Confidential,3,1,4,2,AWS RDS,EU-West,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0230,Identity Platform,Identity Platform Endpoint 230,Endpoint,Prod,Finance,Restricted,5,1,5,2,OT network,US-West,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0231,Email,Email Network 231,Network,Test,IT Ops,Confidential,1,2,3,2,OT network,On-prem DC,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0232,MES,MES Database 232,Database,Prod,Product,Public,2,5,5,1,On-prem,On-prem DC,GCP,API Key,Sample placeholder row; replace with real asset details.
A0233,Data Warehouse,Data Warehouse Identity 233,Identity,Dev,Finance,Public,4,1,4,3,SaaS,EU-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0234,Endpoint Fleet,Endpoint Fleet OT 234,OT,Dev,HR,Confidential,3,4,2,1,Azure SQL,US-East,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0235,MES,MES OT 235,OT,Dev,IT Ops,Restricted,3,4,2,3,OT network,Factory,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0236,Identity Platform,Identity Platform Infrastructure 236,Infrastructure,Dev,Data Platform,Public,3,2,5,3,SaaS,On-prem DC,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0237,MES,MES Network 237,Network,Test,HR,Public,3,5,2,1,On-prem,EU-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0238,Email,Email Database 238,Database,Test,Product,Restricted,4,4,2,2,On-prem,EU-West,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0239,MES,MES Third Party 239,Third Party,Dev,Finance,Internal,5,2,3,2,N/A,US-East,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0240,SOC Tooling,SOC Tooling Network 240,Network,Dev,Product,Public,1,5,5,2,On-prem,On-prem DC,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0241,Data Warehouse,Data Warehouse Identity 241,Identity,Dev,Data Platform,Confidential,3,1,4,3,On-prem,US-East,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0242,Data Warehouse,Data Warehouse Infrastructure 242,Infrastructure,Dev,Finance,Confidential,2,5,5,2,SaaS,Factory,GCP,SSO,Sample placeholder row; replace with real asset details.
A0243,Identity Platform,Identity Platform Data Set 243,Data Set,Prod,Finance,Internal,3,4,3,1,Azure SQL,On-prem DC,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0244,MES,MES OT 244,OT,Dev,HR,Internal,5,2,4,3,AWS RDS,EU-West,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0245,ERP,ERP Infrastructure 245,Infrastructure,Dev,HR,Public,1,1,2,1,Filesystem,EU-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0246,Email,Email Application 246,Application,Test,HR,Confidential,4,1,3,1,On-prem,On-prem DC,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0247,Customer Portal,Customer Portal OT 247,OT,Test,Manufacturing,Confidential,2,5,3,2,SaaS,US-East,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0248,Identity Platform,Identity Platform Infrastructure 248,Infrastructure,Test,Finance,Internal,2,3,2,2,SaaS,US-East,AWS,SSO,Sample placeholder row; replace with real asset details.
A0249,ERP,ERP Application 249,Application,Prod,IT Ops,Confidential,3,5,2,2,On-prem,US-East,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0250,Email,Email Database 250,Database,Test,Finance,Restricted,3,3,5,3,Azure SQL,US-West,On-prem,MFA,Sample placeholder row; replace with real asset details.
A0251,Customer Portal,Customer Portal OT 251,OT,Dev,HR,Restricted,4,4,3,2,Filesystem,US-West,AWS,API Key,Sample placeholder row; replace with real asset details.
A0252,SOC Tooling,SOC Tooling Network 252,Network,Test,Manufacturing,Confidential,2,2,2,3,N/A,Factory,GCP,MFA,Sample placeholder row; replace with real asset details.
A0253,Endpoint Fleet,Endpoint Fleet Application 253,Application,Prod,Finance,Internal,5,5,2,1,SaaS,Factory,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0254,SOC Tooling,SOC Tooling Application 254,Application,Test,Data Platform,Internal,4,1,2,3,N/A,EU-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0255,Endpoint Fleet,Endpoint Fleet Network 255,Network,Dev,IT Ops,Internal,4,3,1,2,Azure SQL,EU-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0256,ERP,ERP Application 256,Application,Prod,Data Platform,Internal,2,2,2,3,Filesystem,On-prem DC,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0257,Customer Portal,Customer Portal OT 257,OT,Dev,HR,Internal,5,2,4,2,On-prem,US-East,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0258,Email,Email Third Party 258,Third Party,Test,HR,Restricted,3,5,1,1,OT network,On-prem DC,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0259,SOC Tooling,SOC Tooling Application 259,Application,Dev,Security,Internal,5,2,2,1,Azure SQL,US-East,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0260,Email,Email Application 260,Application,Dev,Manufacturing,Confidential,4,5,3,1,N/A,US-East,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0261,Email,Email Infrastructure 261,Infrastructure,Prod,Product,Confidential,5,4,4,3,N/A,On-prem DC,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0262,Network Core,Network Core Third Party 262,Third Party,Test,IT Ops,Internal,2,5,4,2,Filesystem,US-East,Azure,SSO,Sample placeholder row; replace with real asset details.
A0263,ERP,ERP Endpoint 263,Endpoint,Prod,Data Platform,Restricted,1,2,5,1,On-prem,Factory,Azure,API Key,Sample placeholder row; replace with real asset details.
A0264,ERP,ERP Identity 264,Identity,Test,Product,Internal,2,1,5,2,AWS RDS,US-West,GCP,API Key,Sample placeholder row; replace with real asset details.
A0265,Email,Email OT 265,OT,Test,Security,Restricted,1,4,5,3,OT network,On-prem DC,GCP,API Key,Sample placeholder row; replace with real asset details.
A0266,Identity Platform,Identity Platform Third Party 266,Third Party,Dev,HR,Public,1,2,5,2,On-prem,US-West,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0267,ERP,ERP Network 267,Network,Prod,Data Platform,Internal,5,4,5,3,On-prem,On-prem DC,GCP,MFA,Sample placeholder row; replace with real asset details.
A0268,MES,MES Endpoint 268,Endpoint,Dev,IT Ops,Internal,3,4,5,1,OT network,EU-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0269,Data Warehouse,Data Warehouse Infrastructure 269,Infrastructure,Dev,HR,Public,4,1,4,1,SaaS,Factory,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0270,Data Warehouse,Data Warehouse Infrastructure 270,Infrastructure,Prod,HR,Public,2,5,1,3,Azure SQL,US-West,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0271,Network Core,Network Core Endpoint 271,Endpoint,Dev,Data Platform,Internal,3,1,1,2,Filesystem,US-East,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0272,Endpoint Fleet,Endpoint Fleet Database 272,Database,Dev,IT Ops,Restricted,5,4,2,2,OT network,On-prem DC,AWS,API Key,Sample placeholder row; replace with real asset details.
A0273,SOC Tooling,SOC Tooling Network 273,Network,Test,HR,Restricted,1,4,4,1,SaaS,US-West,Vendor Hosted,MFA,Sample placeholder row; replace with real asset details.
A0274,Network Core,Network Core Application 274,Application,Test,Manufacturing,Public,2,2,2,3,Azure SQL,US-West,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0275,Endpoint Fleet,Endpoint Fleet Database 275,Database,Test,Data Platform,Internal,5,5,5,2,SaaS,US-West,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0276,Endpoint Fleet,Endpoint Fleet Network 276,Network,Dev,Product,Internal,2,1,5,2,Filesystem,On-prem DC,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0277,Email,Email OT 277,OT,Prod,Manufacturing,Internal,3,4,5,3,Azure SQL,EU-West,GCP,MFA,Sample placeholder row; replace with real asset details.
A0278,SOC Tooling,SOC Tooling Application 278,Application,Prod,Finance,Confidential,3,2,5,3,Azure SQL,On-prem DC,AWS,MFA,Sample placeholder row; replace with real asset details.
A0279,SOC Tooling,SOC Tooling OT 279,OT,Prod,Data Platform,Restricted,5,4,1,2,N/A,Factory,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0280,Email,Email Identity 280,Identity,Dev,Security,Restricted,5,1,3,3,On-prem,Factory,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0281,Endpoint Fleet,Endpoint Fleet Third Party 281,Third Party,Prod,Product,Public,4,5,5,2,SaaS,On-prem DC,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0282,Email,Email Infrastructure 282,Infrastructure,Prod,Product,Public,2,1,5,3,OT network,EU-West,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0283,Email,Email Network 283,Network,Test,HR,Internal,2,5,2,3,AWS RDS,US-East,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0284,Customer Portal,Customer Portal OT 284,OT,Prod,Product,Restricted,4,2,4,1,Azure SQL,On-prem DC,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0285,Customer Portal,Customer Portal Third Party 285,Third Party,Prod,Finance,Restricted,5,1,5,2,N/A,US-East,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0286,Data Warehouse,Data Warehouse Infrastructure 286,Infrastructure,Dev,IT Ops,Internal,1,2,5,3,Filesystem,Factory,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0287,ERP,ERP Network 287,Network,Test,Manufacturing,Restricted,5,3,3,2,N/A,On-prem DC,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0288,MES,MES Endpoint 288,Endpoint,Prod,Finance,Confidential,3,1,4,3,Filesystem,EU-West,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0289,Network Core,Network Core Application 289,Application,Dev,Security,Internal,2,1,3,1,Azure SQL,US-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0290,Identity Platform,Identity Platform Infrastructure 290,Infrastructure,Dev,Manufacturing,Internal,5,4,2,1,N/A,US-West,GCP,MFA,Sample placeholder row; replace with real asset details.
A0291,Identity Platform,Identity Platform Third Party 291,Third Party,Test,Security,Confidential,4,5,1,3,SaaS,On-prem DC,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0292,ERP,ERP Network 292,Network,Dev,Finance,Confidential,3,4,3,2,SaaS,US-West,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0293,Network Core,Network Core Data Set 293,Data Set,Prod,HR,Restricted,5,5,5,3,AWS RDS,US-East,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0294,MES,MES Application 294,Application,Prod,Data Platform,Internal,5,3,4,3,AWS RDS,US-West,Vendor Hosted,Local Accounts,Sample placeholder row; replace with real asset details.
A0295,SOC Tooling,SOC Tooling Database 295,Database,Test,IT Ops,Internal,4,4,1,3,N/A,Factory,Azure,SSO,Sample placeholder row; replace with real asset details.
A0296,Customer Portal,Customer Portal Network 296,Network,Prod,Security,Restricted,4,5,2,3,AWS RDS,US-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0297,ERP,ERP Third Party 297,Third Party,Prod,Data Platform,Confidential,2,1,5,2,OT network,On-prem DC,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0298,Email,Email Identity 298,Identity,Test,Manufacturing,Internal,3,3,4,2,On-prem,US-East,GCP,MFA,Sample placeholder row; replace with real asset details.
A0299,Endpoint Fleet,Endpoint Fleet Third Party 299,Third Party,Dev,Finance,Internal,3,2,1,3,On-prem,Factory,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0300,Email,Email Endpoint 300,Endpoint,Prod,IT Ops,Internal,2,5,4,3,N/A,US-East,AWS,MFA,Sample placeholder row; replace with real asset details.
A0301,Network Core,Network Core Data Set 301,Data Set,Test,Data Platform,Public,1,3,3,2,AWS RDS,EU-West,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0302,Endpoint Fleet,Endpoint Fleet Network 302,Network,Test,IT Ops,Public,3,5,3,2,Filesystem,US-West,GCP,SSO,Sample placeholder row; replace with real asset details.
A0303,Data Warehouse,Data Warehouse Infrastructure 303,Infrastructure,Dev,Data Platform,Restricted,1,4,4,2,Azure SQL,US-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0304,Data Warehouse,Data Warehouse Database 304,Database,Prod,Data Platform,Confidential,5,5,2,3,On-prem,US-East,GCP,Local Accounts,Sample placeholder row; replace with real asset details.
A0305,Customer Portal,Customer Portal Identity 305,Identity,Dev,Security,Internal,1,3,2,3,N/A,EU-West,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0306,ERP,ERP Identity 306,Identity,Test,Security,Internal,2,3,1,3,OT network,US-West,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0307,SOC Tooling,SOC Tooling OT 307,OT,Dev,Data Platform,Internal,2,5,5,1,AWS RDS,On-prem DC,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0308,ERP,ERP Infrastructure 308,Infrastructure,Prod,HR,Confidential,1,5,2,1,Filesystem,US-West,AWS,MFA,Sample placeholder row; replace with real asset details.
A0309,Customer Portal,Customer Portal OT 309,OT,Test,HR,Confidential,4,1,3,1,N/A,US-West,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0310,Email,Email Application 310,Application,Test,Data Platform,Public,3,4,5,3,Filesystem,EU-West,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0311,Identity Platform,Identity Platform Infrastructure 311,Infrastructure,Dev,Manufacturing,Restricted,4,5,4,1,SaaS,EU-West,GCP,Certificate,Sample placeholder row; replace with real asset details.
A0312,Endpoint Fleet,Endpoint Fleet Network 312,Network,Test,Product,Restricted,3,4,3,3,OT network,On-prem DC,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0313,Network Core,Network Core Endpoint 313,Endpoint,Prod,Security,Public,2,1,4,2,Azure SQL,EU-West,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0314,MES,MES Network 314,Network,Test,Data Platform,Confidential,3,2,5,3,On-prem,EU-West,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0315,Endpoint Fleet,Endpoint Fleet Third Party 315,Third Party,Test,Finance,Internal,5,2,2,3,Azure SQL,On-prem DC,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0316,ERP,ERP Network 316,Network,Prod,Finance,Internal,3,4,4,2,Azure SQL,EU-West,GCP,API Key,Sample placeholder row; replace with real asset details.
A0317,Identity Platform,Identity Platform Endpoint 317,Endpoint,Test,Product,Public,5,4,3,1,OT network,Factory,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0318,ERP,ERP OT 318,OT,Prod,Manufacturing,Confidential,4,1,3,2,SaaS,US-East,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0319,SOC Tooling,SOC Tooling Infrastructure 319,Infrastructure,Test,Finance,Internal,2,4,2,1,Filesystem,On-prem DC,AWS,Service Principal,Sample placeholder row; replace with real asset details.
A0320,Endpoint Fleet,Endpoint Fleet Network 320,Network,Prod,Security,Public,2,3,3,2,N/A,EU-West,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0321,Network Core,Network Core Data Set 321,Data Set,Dev,Finance,Confidential,4,1,3,3,Azure SQL,US-East,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0322,Data Warehouse,Data Warehouse Network 322,Network,Dev,Manufacturing,Confidential,3,3,5,1,SaaS,On-prem DC,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0323,MES,MES Third Party 323,Third Party,Test,Finance,Public,1,1,3,3,AWS RDS,Factory,Azure,MFA,Sample placeholder row; replace with real asset details.
A0324,ERP,ERP OT 324,OT,Test,Manufacturing,Public,2,2,1,2,OT network,On-prem DC,Azure,MFA,Sample placeholder row; replace with real asset details.
